blue,brightness,green,greenness,landcover,latitude,longitude,nbr,ndmi,ndvi,nir,red,swir1,swir2,wetness
860,4084.0334,1063,4.1327,5,40.96209696,-105.1478318,-0.15318958,-0.26682225,0.19115324,1885,1280,3257,2567,-2785.7392
715,4081.1637,1054,507.9694,5,40.09430619,-105.3701216,0.07232143,-0.07007356,0.30401736,2402,1282,2764,2078,-2079.8543
875,4636.5699,1139,141.1995,5,39.61122187,-105.1578484,-0.13679786,-0.2379828,0.22605155,2259,1426,3670,2975,-3190.8128
464,2413.8387,581,69.5886,5,40.86863049,-105.2736496,-0.12687688,-0.24259199,0.22356655,1163,738,1908,1501,-1628.6855
971,5274.0946,1394,92.9654,5,40.1432697,-104.2479584,-0.11614441,-0.1904539,0.18601462,2595,1781,3816,3277,-3251.3422
768,3933.4479,1053,84.9253,5,40.54607404,-105.2092685,-0.082542695,-0.20099153,0.1908867,1934,1314,2907,2282,-2363.0685
816,4118.1418,1102,48.7852,5,40.64157156,-105.1488963,-0.08970252,-0.21398933,0.17414404,1989,1399,3072,2381,-2486.7792
932,4552.9486,1179,70.7927,5,40.75263088,-105.1622931,-0.12743926,-0.22702417,0.20087695,2191,1458,3478,2831,-2964.5669
558,2793.4432,733,38.9731,5,40.93453432,-105.1456322,-0.1041456,-0.23730272,0.19246298,1329,900,2156,1638,-1766.4142
828,3981.3292,1066,18.696,5,39.79874924,-105.200678,-0.12960437,-0.19849247,0.18075262,1914,1328,2862,2484,-2451.0895
369,1895.9897,511,17.7644,5,40.47754216,-105.2816115,-0.09392265,-0.21291448,0.18295082,902,623,1390,1089,-1124.7343
721,4060.9035,1189,181.2871,5,39.86110609,-105.3495748,0.031761307,-0.1138665,0.18781163,2144,1466,2695,2012,-1947.368
818,4085.3799,1152,-60.1051,5,40.70252973,-105.3354697,-0.16290288,-0.20041884,0.1601337,1909,1382,2866,2652,-2522.5545
567,3013.9811,766,71.1619,5,40.79377822,-105.2701416,-0.08805419,-0.20226233,0.18669872,1481,1015,2232,1767,-1827.8649
824,4302.8872,1079,163.675,5,40.28072449,-105.3937219,-0.09444212,-0.19292365,0.21775779,2167,1392,3203,2619,-2699.1377
496,3232.1012,749,682.378,5,39.65948878,-105.4219984,0.15538712,-0.001637427,0.39934427,2134,916,2141,1560,-1574.2006
1026,5129.1344,1358,191.7042,5,39.94376295,-105.2685248,-0.052170742,-0.18609023,0.20696864,2598,1707,3786,2884,-3018.6315
680,4115.4265,929,255.6296,5,40.50923448,-105.2509375,-0.11087778,-0.20711611,0.2545185,2117,1258,3223,2645,-2815.4607
571,3217.2061,747,367.5747,5,40.25337287,-105.3237169,-0.0033241,-0.15717967,0.32328063,1799,920,2470,1811,-1998.4102
737,3617.0221,915,-35.6551,5,40.36824588,-105.2030638,-0.19246966,-0.27923945,0.17987694,1630,1133,2893,2407,-2565.8507
983,5069.3263,1310,211.431,5,40.7951507,-105.3611839,-0.08147882,-0.20018753,0.22763252,2559,1610,3840,3013,-3182.2275
745,4436.1676,1084,370.406,5,40.14421579,-104.2690794,-0.055304073,-0.15507834,0.27965876,2400,1351,3281,2681,-2767.1677
693,3973.5632,973,556.5239,5,40.11487223,-105.3624881,0.058136925,-0.09136469,0.33920455,2357,1163,2831,2098,-2198.89
897,4771.1468,1201,282.823,5,39.54681208,-105.205886,-0.061742425,-0.18626806,0.24817334,2477,1492,3611,2803,-2976.609
801,3786.624,1026,181.3649,5,40.42375935,-105.2810334,-0.029872674,-0.13568935,0.22510822,1981,1253,2603,2103,-2065.9355
492,2392.2684,670,86.5937,5,39.5347042,-104.8288266,-0.013960909,-0.12059765,0.2005828,1236,823,1575,1271,-1206.8699
879,4272.3879,1160,2.1563,5,40.87397677,-105.3883144,-0.107401714,-0.21468599,0.16213898,2032,1465,3143,2521,-2577.9655
832,4426.1307,1138,299.572,5,40.16050939,-105.2799451,-0.04397394,-0.1593269,0.2586438,2348,1383,3238,2564,-2650.2253
745,4328.9799,1005,65.8,5,40.62014849,-105.1970856,-0.20015714,-0.26245245,0.21154419,2036,1325,3485,3055,-3215.4771
315,1363.6293,388,-35.9774,5,40.88704519,-105.2573447,-0.099415205,-0.20618556,0.13548388,616,469,936,752,-735.1854
682,4275.8783,1157,372.9803,5,40.39328174,-104.9574633,0.04186448,-0.07135988,0.24017467,2414,1479,2785,2220,-2096.0849
934,4024.2668,1159,300.1336,5,39.72450458,-105.2869251,0.05307656,-0.062120896,0.25567067,2242,1329,2539,2016,-1872.0533
779,4129.4806,1012,-107.7568,5,40.71260086,-105.3980305,-0.26478875,-0.26846847,0.16815856,1827,1301,3168,3143,-3095.6525
858,4381.8002,1160,214.5069,5,40.43071603,-105.3086499,-0.043331932,-0.1601108,0.22455573,2274,1440,3141,2480,-2521.7494
667,3825.3242,1057,249.8508,5,40.05570899,-104.1704851,0.003870344,-0.10192599,0.22890139,2075,1302,2546,2059,-1968.4564
720,3625.6259,931,134.3216,5,40.42629799,-105.2332996,-0.096548274,-0.2080684,0.23108384,1806,1128,2755,2192,-2312.962
1039,5310.7904,1464,90.1283,5,40.48537387,-105.1350996,-0.072252795,-0.19414033,0.17755745,2613,1825,3872,3020,-3097.6755
546,2730.6761,729,15.2773,5,40.91858686,-105.1477348,-0.12013652,-0.229758,0.18365473,1289,889,2058,1641,-1713.2033
471,3050.1464,738,392.339,5,39.59513512,-105.2388724,0.063487336,-0.093495935,0.30314097,1784,954,2152,1571,-1634.7911
875,3351.8546,1102,-168.583,5,39.75499835,-105.1770872,-0.09271137,-0.11009437,0.09732017,1556,1280,1941,1874,-1522.5792
677,3152.3997,785,51.2267,5,40.30474954,-105.1919297,-0.14170274,-0.25742823,0.21735571,1487,956,2518,1978,-2159.3905
763,4268.2874,1092,587.5615,5,40.3881859,-105.343095,0.07783418,-0.07024266,0.3295069,2548,1285,2933,2180,-2222.0855
631,3315.2506,837,233.696,5,40.9275221,-105.3775818,-0.050013665,-0.18480301,0.2751284,1738,988,2526,1921,-2070.9641
754,3898.7551,976,194.7812,5,39.94765371,-105.3317533,-0.075996295,-0.18959561,0.23774053,1994,1228,2927,2322,-2435.351
564,3187.1656,718,167.2876,5,40.61095033,-105.2023781,-0.16307206,-0.23047158,0.27945316,1591,896,2544,2211,-2340.2405
1010,5025.1512,1309,63.9665,5,40.70363822,-105.3258868,-0.14069378,-0.20104781,0.19490695,2440,1644,3668,3239,-3213.4629
762,4282.6997,978,57.5652,5,40.47414441,-105.2292181,-0.21247022,-0.2851478,0.2195572,1983,1269,3565,3053,-3299.4777
691,3909.9807,1016,380.0054,5,40.28612396,-105.3955179,0.006637675,-0.101715684,0.2859649,2199,1221,2697,2170,-2151.4087
651,3518.0431,818,108.1634,5,40.56959727,-105.3224004,-0.17464232,-0.27465856,0.24943988,1673,1005,2940,2381,-2638.7708
1040,4923.5439,1297,-204.2517,5,40.54775153,-104.0485904,-0.24568103,-0.3229966,0.14585635,2074,1546,4053,3425,-3676.1704
796,3601.4804,1051,170.9352,5,39.94810385,-105.0753884,0.041812785,-0.07959962,0.20424072,1931,1276,2265,1776,-1634.4183
638,4052.7622,968,301.5742,5,40.65794423,-105.4161594,-0.09353741,-0.18827337,0.27894422,2132,1202,3121,2572,-2711.1638
626,3566.4182,838,600.2968,5,40.34004879,-105.3523877,0.08461158,-0.076080084,0.37774983,2192,990,2553,1850,-1972.5806
725,3857.5116,990,58.1732,5,39.76492942,-105.3322757,-0.13743638,-0.21350211,0.19410634,1864,1258,2876,2458,-2494.1529
819,4196.914,1112,-0.0602,5,40.90443975,-105.2086131,-0.13790074,-0.24296182,0.1719403,1963,1387,3223,2591,-2722.6377
873,4103.1251,1112,145.9561,5,40.62066909,-105.2084371,-0.073529415,-0.17121786,0.2254642,2079,1314,2938,2409,-2423.4765
300,1949.2197,445,207.9112,5,40.63232397,-105.1889622,0.04255319,-0.15517241,0.27649498,1078,611,1474,990,-1111.4623
800,4230.9526,1105,144.7892,5,40.78686557,-105.3302046,-0.083986074,-0.20894401,0.21430631,2105,1362,3217,2491,-2644.6898
531,2762.8812,742,-0.4863,5,40.99509984,-105.1197273,-0.11884258,-0.254662,0.17017384,1279,907,2153,1624,-1760.4794
914,4605.3147,1214,240.6152,5,40.06181316,-105.2964257,-0.02207686,-0.17102756,0.22384241,2392,1517,3379,2500,-2637.0357
806,4191.7606,1054,287.5857,5,40.44916901,-105.3748915,-0.06413808,-0.18561098,0.27600232,2196,1246,3197,2497,-2667.5231
