blue,brightness,green,greenness,landcover,nbr,ndmi,ndvi,nir,red,swir1,swir2,wetness
353,1659.3307,614,886.379,agriculture,0.5042772,0.17653114,0.77255106,3429,440,2400,1130,-231.2472
400.5,3018.157,723,2252.0671,agriculture,0.35857937,0.061784133,0.61948484,3175,746,2805.5,1499,-738.8259
475,2813.4757,805.5,1759.6039,agriculture,0.40139505,0.14676122,0.71539456,3315,550,2466.5,1416,-694.7629
400,2655.4327,750,1883.0703,agriculture,0.39492518,0.14002126,0.67021555,3216,635,2426,1395,-548.9932
359.5,2889.8248,624.5,2291.149,agriculture,0.23222136,-0.02824513,0.57053393,2382.5,651.5,2521,1484.5,-576.2446
273,1315.3642,631,380.0638,agriculture,0.59517425,0.2819329,0.8267544,4165,395,2333,1057,-200.6643
386,2885.7149,823,1799.2733,agriculture,0.55562884,0.359159,0.80597013,4719,507,2225,1348,-736.1392
357,2861.2332,918,1729.2697,agriculture,0.6126907,0.339188,0.7950598,4651,531,2295,1117,-727.8054
191,1304.3771,533,370.6035,agriculture,0.7911084,0.53717494,0.91067076,5882,275,1771,686,-195.7308
343,3308.7219,672,2031.0115,developed,0.4588127,0.19509897,0.66842103,3170,630,2135,1176,-1036.083
442,2818.220444,761,2038.369922,developed,0.36863038,0.13596039,0.5664296,2753,762,2094,1270,-686.2774204
484,2792.166518,743,1992.516746,developed,0.11661042,-0.050079744,0.2953458,1489,810,1646,1178,-686.5599082
297,2574.2018,584,1598.857,developed,0.3389313,0.14118412,0.46901172,1754,634,1320,866,-723.2268
497.5,2827.333665,776,2047.942136,developed,0.32576275,0.1308204,0.5126444,2422.5,780.5,1862,1232,-682.4948125
753,2970.449,1137,1732.6806,developed,0.1781979,0.0257398,0.38307166,2929,1306.5,2782,2043,-784.54
604,1665.88733,756,498.5100094,developed,0.29068324,0.069205046,0.48720703,2078,716.5,1809,1142,-419.7008071
567,2772.332605,789,1951.320635,developed,0.41170156,0.22467986,0.52995926,2630,808,1665,1096,-675.1877804
858.5,2791.42434,1100.5,1985.874496,developed,0.25315803,0.094080575,0.34355998,2430.5,1187.5,2012.5,1448.5,-678.4143773
357,1820.566216,577.5,1026.824484,developed,0.3880255,0.13240491,0.6864262,2724,506.5,2087,1201,-378.4402776
559,1693.903459,741,755.5156443,developed,0.29989374,0.08209483,0.6565547,3058,634,2594,1647,-379.1712984
520,1642.36468,735,682.3276059,developed,0.24342473,0.05183432,0.5151722,2222,711,2003,1352,-372.3455569
710,2771.918037,965,1949.894649,developed,0.29313177,0.19604863,0.37563363,1967.5,893,1322.5,1075.5,-674.2902141
640,1628.452954,926,654.6064455,developed,0.26261026,0.07181259,0.48024398,2791,980,2417,1630,-372.1545667
694,2564.0521,1040.5,1601.376,developed,0.08904855,0.002706224,0.31961483,2501,1289.5,2487.5,2092,-709.2702
333,1829.450539,571,1051.936816,developed,0.46988246,0.18612923,0.725,3001.5,478.5,2059.5,1082.5,-378.0345749
369.5,2560.8189,639,1599.9141,developed,0.41799527,0.20542133,0.61401296,2557,611.5,1685.5,1049.5,-708.9692
1490,2977.2947,2090,1738.5978,developed,0.11589292,0.03018927,0.16093777,3293,2380,3100,2609,-788.5005
368,2561.393,681,1600.7081,developed,0.38813254,0.18120219,0.5861462,2702,705,1873,1191,-708.8098
790.5,2790.541317,1078,1985.083809,developed,0.38454852,0.20880371,0.5118652,3185.5,1028.5,2085,1416,-677.8952212
603,1655.618011,859,700.6012502,developed,0.17737897,-0.00528914,0.56201553,2821,791,2851,1971,-374.0947294
397.5,2793.571288,562.5,1996.596384,developed,0.13881361,0.06057207,0.24818482,945.5,569.5,837.5,715,-686.5045263
386,2845.1728,684,2068.6974,developed,0.41513896,0.1914364,0.58267194,2393,631,1624,989,-687.8477
448,1649.671816,626,698.3677067,developed,0.24630542,0.025906736,0.5817992,2277,602,2162,1377,-372.4947773
621,1653.506602,903,703.2529878,developed,0.15646526,-0.05636743,0.559448,2938,830,3289,2143,-372.9276553
286,2563.478,546,1600.582,developed,0.39993617,0.17210048,0.5614098,2193,616,1549,940,-709.4296
661.5,2789.601118,873.5,1983.342365,developed,0.18166667,0.04881657,0.31735414,1772.5,918.5,1607.5,1227.5,-678.1813945
1556,2831.105515,2338,2057.421715,developed,0.22921637,0.08504779,0.09426564,3349,2772,2824,2100,-684.4294957
741,1633.035925,1152,662.6242635,developed,0.18961447,0.04618578,0.45454547,3024,1134,2757,2060,-372.6212773
539,1664.877315,807,739.8446259,developed,0.2320733,0.025357483,0.5570353,2689,765,2556,1676,-371.1590365
621,2827.151781,927,2049.384158,developed,0.1952529,0.05381166,0.34541985,2115,1029,1899,1424,-682.6763976
474,1632.971832,710,672.3516671,developed,0.31534025,0.09275585,0.6194263,2851,670,2367,1484,-370.5883478
